Befragten_ID;Reputation AG;Image Ges;Lernplätze-Gruppenräume;Mensa_Cafeteria;Modernen_Gebäude;Technische_Austatt;Begegnungsräume;Modul_Wahlmöglichkeiten ;Spezialisierungsmöglichkeiten ;Hochschul_Lern_Lehrklima?;Interaktion_Dozierenden;inter_didaktisch_Unterricht;Lernerfolg;Wissen_anwenden;Unterrichtsmodule_Englisch ;Austauschsemester;Double_Degree;Incoming_Students_Kontakt;Internat_Exkursionen;Standort_Allg;Nähe_Wohnort;Social Media;Werbung ;Anwesenheit_Freunde;Empfehlung_Freunde_Family;Empfehlung_Beruf;Empfehlung_Studierenden_Absolventen
1;5;4;5;4;5;5;5;6;6;6;6;7;7;7;7;7;4;7;4;7;7;5;6;4;5;5;5
2;4;6;6;3;6;4;6;7;6;4;4;5;4;6;7;7;5;3;5;7;7;3;4;3;5;3;5
3;4;4;4;4;5;5;4;5;7;5;4;4;4;4;7;7;4;7;7;7;7;4;1;4;4;4;4
4;6;6;4;4;5;6;6;6;6;6;6;6;6;6;3;7;5;5;4;5;4;4;4;3;5;5;5
5;5;5;4;4;4;4;4;4;6;4;4;4;4;7;1;1;1;1;1;7;7;1;1;1;1;2;1
6;5;4;1;1;4;4;4;7;5;5;4;6;6;7;2;2;2;1;4;6;6;4;4;4;5;7;5
7;6;6;5;6;6;6;5;6;5;5;6;6;6;6;5;7;4;5;4;6;5;1;1;6;6;6;6
8;6;6;4;5;6;7;6;4;5;6;6;6;7;7;4;5;3;3;5;6;6;4;4;2;2;2;2
9;4;2;1;1;5;5;3;7;7;6;5;6;5;6;7;6;2;2;7;5;5;1;1;4;4;4;4
10;6;6;6;6;7;7;5;6;6;6;6;6;6;7;3;5;3;3;4;7;7;4;4;5;5;5;6
11;5;4;6;7;7;6;4;7;7;4;4;7;7;6;4;7;1;4;4;7;7;4;1;5;7;6;6
12;5;5;6;6;6;6;6;6;7;6;2;4;4;4;5;5;5;1;1;6;6;2;1;5;4;5;5
13;5;5;4;4;4;5;4;5;5;4;4;5;6;6;3;4;2;2;3;7;7;3;2;6;6;6;6
14;6;6;6;4;7;7;3;7;7;6;6;6;7;7;7;7;5;5;4;7;7;2;2;6;6;6;7
15;6;5;3;2;5;5;5;5;6;4;2;6;7;6;6;7;4;4;3;7;7;4;4;6;4;6;6
16;6;6;7;4;6;6;5;6;5;6;6;6;6;6;4;4;4;4;4;6;6;5;4;5;6;4;6
17;7;5;2;3;5;6;4;7;6;6;7;7;6;7;3;7;7;4;7;7;7;4;2;3;5;4;6
18;5;5;5;5;5;5;5;6;5;4;4;5;6;6;4;4;4;4;4;6;6;5;5;5;6;5;5
19;5;7;4;4;4;4;5;6;6;6;4;7;7;6;4;4;1;4;5;7;6;2;3;5;5;5;5
20;7;7;5;4;6;6;5;7;7;7;5;7;7;7;7;6;4;6;6;7;5;3;4;6;6;6;7
21;3;3;2;1;5;6;5;7;7;5;5;5;7;6;6;7;6;6;5;7;6;1;1;5;4;4;5
22;4;5;5;3;6;6;4;5;5;6;5;7;6;7;7;5;3;4;5;5;5;3;3;3;5;5;5
23;7;7;6;6;7;7;3;6;7;7;7;7;7;7;3;4;3;1;2;5;5;3;5;3;7;7;7
24;4;4;5;3;6;7;5;6;5;7;7;7;7;6;5;2;3;2;6;7;7;3;2;3;3;3;5
25;5;2;5;2;5;5;5;6;6;5;4;5;5;5;1;3;3;3;3;7;6;3;3;1;2;2;2
26;5;5;7;7;7;7;7;7;7;7;5;7;7;7;5;4;6;4;4;7;7;5;5;6;6;6;5
27;3;3;2;2;3;5;3;5;5;2;4;4;6;6;2;2;2;2;2;7;7;2;2;2;2;2;4
28;5;6;5;3;5;5;5;7;7;6;7;5;6;7;6;4;1;2;3;7;5;2;5;1;5;1;5
29;5;2;3;2;5;5;4;5;7;4;5;5;5;5;1;1;1;1;1;6;5;5;1;7;6;6;6
30;6;5;2;1;1;5;1;7;7;6;5;5;6;6;4;2;1;1;1;7;7;1;1;5;2;2;2
31;6;5;1;1;2;4;4;6;6;6;5;6;6;7;3;3;3;3;7;7;7;2;2;3;5;5;4
32;4;5;5;5;6;6;5;7;6;6;5;6;5;7;4;6;4;4;4;7;7;5;4;7;7;7;7
33;5;6;7;6;6;6;7;6;7;4;5;7;6;7;3;3;3;3;3;3;3;2;2;2;4;5;6
34;6;5;4;4;5;5;4;6;7;5;5;7;6;5;6;6;4;5;4;6;5;3;3;5;6;5;5
35;4;5;3;3;5;6;7;6;6;5;4;5;6;6;1;2;1;1;5;7;7;3;3;7;7;3;6
36;6;6;5;4;4;4;5;6;6;6;6;6;6;6;5;5;5;5;5;6;7;4;4;5;6;6;4
37;5;5;3;3;3;3;2;6;6;3;3;6;5;5;5;5;2;3;5;6;5;3;2;2;4;4;3
38;5;5;5;3;5;5;3;6;6;6;5;6;6;6;2;6;2;3;5;6;6;5;3;5;5;5;5
39;7;6;5;4;6;5;5;7;7;6;3;7;7;7;5;6;5;4;7;7;7;2;2;2;4;5;5
40;6;5;6;5;6;5;4;6;7;6;7;7;6;6;4;5;4;5;5;7;7;5;4;2;5;4;5
41;7;4;6;3;3;6;1;6;6;6;3;6;6;6;4;6;3;3;6;6;6;1;1;2;4;6;7
42;4;6;4;2;6;4;4;4;5;4;2;1;3;5;1;1;1;1;1;6;6;1;1;7;4;4;1
43;5;4;3;3;3;5;3;5;6;4;4;5;5;6;5;4;3;3;3;5;4;4;3;3;5;4;4
44;7;7;3;3;5;5;3;6;5;3;7;6;6;6;7;6;3;2;5;3;5;2;1;2;6;6;6
45;6;5;3;3;3;3;3;6;6;5;5;5;5;5;6;5;3;3;6;6;6;3;3;2;5;5;5
46;4;5;6;4;5;5;5;6;6;5;5;5;6;6;2;3;3;3;3;6;6;4;4;5;6;5;5
47;7;7;4;4;6;7;6;7;7;6;7;7;6;7;3;5;3;2;5;7;7;6;2;2;5;5;5
48;6;6;4;4;5;5;4;5;6;4;4;5;5;5;3;5;2;3;4;6;5;4;4;4;5;5;5
49;6;3;2;2;7;6;3;6;7;7;6;7;7;7;2;3;1;1;2;7;7;1;3;5;7;7;5
50;5;5;6;4;6;6;5;5;5;5;4;6;6;7;2;2;4;4;5;5;6;4;4;5;5;4;5
51;7;6;7;7;7;7;3;6;7;4;5;7;7;7;3;5;3;2;5;7;5;1;1;3;5;5;5
52;7;4;7;5;6;7;4;6;6;6;5;7;7;7;4;5;4;5;6;6;3;6;4;4;4;4;4
53;3;4;2;2;6;6;2;7;7;4;4;5;4;6;5;7;4;5;7;7;7;6;5;6;7;6;5
54;7;6;4;3;5;5;5;5;3;4;6;4;5;5;6;6;7;5;6;6;5;2;4;4;5;6;6
55;4;4;6;5;7;6;4;5;4;5;5;6;6;6;5;5;2;2;5;7;7;5;3;6;3;2;2
56;6;5;6;6;3;3;6;7;7;5;5;5;5;7;3;2;1;1;1;7;7;5;2;6;7;7;7
57;3;4;5;5;6;6;5;7;7;6;6;7;7;7;4;3;6;3;5;7;7;1;3;1;4;4;4
58;6;4;3;1;6;7;3;7;7;3;5;5;5;5;7;7;3;7;7;7;2;1;2;2;4;2;4
59;6;6;5;4;6;7;5;4;5;5;6;6;6;6;4;5;4;4;4;7;6;4;4;4;7;7;7
60;7;6;7;6;4;4;5;6;6;7;7;7;7;7;7;3;3;6;5;6;5;4;4;2;3;4;5
61;6;5;7;4;5;6;6;7;7;7;7;7;7;5;7;7;7;5;7;6;6;6;4;4;6;4;6
62;5;5;5;5;5;6;5;5;6;5;5;6;6;6;2;4;2;4;4;6;6;3;3;5;5;5;5
63;7;7;6;7;7;7;6;7;7;5;7;6;7;7;6;5;5;4;4;7;6;6;4;6;6;7;6
64;5;6;5;3;6;6;4;5;5;6;5;6;6;5;3;2;2;2;2;7;7;3;3;7;6;6;6
65;3;3;5;3;3;5;5;5;5;3;5;5;5;5;5;4;4;4;4;7;7;4;4;4;5;4;4
66;7;7;2;6;6;6;5;7;7;5;6;7;7;7;4;4;6;4;7;7;7;2;2;5;5;6;5
67;6;4;2;4;5;5;2;7;7;4;4;7;7;6;4;4;4;2;2;6;6;5;4;4;5;4;5
68;5;5;3;3;7;7;7;7;6;5;4;4;4;4;4;4;4;4;4;7;7;2;2;4;4;4;4
69;6;3;7;7;7;7;7;6;6;6;7;7;7;7;5;7;2;7;7;7;7;3;3;6;6;5;6
70;5;5;5;6;5;6;5;7;7;6;7;7;7;7;4;2;2;4;2;7;6;2;2;2;5;5;5
71;6;6;4;4;4;4;4;5;6;6;6;6;6;5;3;3;3;4;4;7;5;4;4;5;6;5;6
72;6;6;7;7;7;7;7;7;7;5;7;7;7;7;7;3;1;3;2;7;7;2;2;4;6;6;6
73;5;5;5;6;6;6;4;6;7;5;5;5;5;6;3;3;1;2;2;7;7;2;4;7;6;4;6
74;4;4;1;1;1;6;1;5;5;5;6;7;7;6;1;7;4;5;6;5;5;1;5;1;5;5;5
75;5;5;5;5;5;5;5;6;6;5;5;5;5;6;6;4;4;4;5;6;6;4;4;5;5;5;5
76;6;6;6;4;6;7;4;5;7;6;6;7;7;7;7;6;4;4;4;7;7;2;2;2;4;2;6
77;4;4;4;3;3;5;5;6;6;5;6;7;6;7;7;2;4;5;6;6;6;1;1;1;1;4;3
78;7;7;2;3;6;6;2;6;6;5;5;5;5;5;7;2;1;2;2;5;5;6;2;2;5;5;6
79;5;5;3;4;4;5;3;4;5;5;6;5;5;6;2;3;2;2;2;6;6;4;4;4;5;4;5
80;5;5;2;2;5;6;2;2;3;2;4;6;6;6;2;3;3;1;2;5;3;1;4;1;1;1;1
81;5;5;4;4;5;6;5;6;6;5;7;6;6;7;6;4;4;4;4;7;7;5;4;7;7;7;7
82;6;6;6;3;4;7;4;6;7;6;4;6;5;6;5;5;4;4;5;7;6;3;3;6;6;7;7
83;5;5;3;1;5;5;5;5;6;5;6;7;7;7;5;5;7;5;4;6;6;4;3;5;6;7;7
84;6;5;7;4;6;7;4;6;7;7;5;5;6;4;7;5;5;4;5;7;7;3;3;3;5;6;3
85;5;5;4;6;6;6;6;6;6;6;7;7;7;7;4;4;4;4;6;7;6;5;5;4;6;5;6
86;4;4;4;4;4;4;4;4;5;4;4;4;4;5;3;3;3;3;3;7;7;3;3;4;4;4;4
87;3;3;2;2;2;2;2;4;4;1;1;4;4;4;4;4;4;4;4;7;7;2;1;3;3;3;3
88;4;4;4;4;4;4;4;7;7;4;4;5;5;6;7;7;6;6;4;7;6;4;4;4;6;4;4
89;6;6;5;2;5;5;4;7;7;5;5;5;5;5;5;7;5;5;5;6;7;4;4;5;4;4;4
90;3;3;4;4;4;4;4;5;5;5;4;5;6;6;4;5;4;4;4;6;6;4;4;5;5;5;5
91;5;5;2;1;5;5;4;5;7;3;4;5;6;6;1;1;1;1;1;7;6;2;1;1;7;7;1
92;5;5;1;1;6;6;4;5;6;6;6;7;7;6;4;2;2;2;2;6;5;2;2;2;6;7;6
93;6;6;7;6;7;7;6;7;7;6;6;7;7;7;7;7;5;4;7;6;6;3;3;6;7;6;4
94;6;5;6;2;6;7;5;5;3;4;4;4;6;6;7;5;1;3;1;5;5;1;2;4;5;5;6
95;3;5;3;1;3;7;1;6;6;4;2;5;5;5;1;3;1;1;1;7;7;1;1;7;7;6;6
96;5;6;5;5;6;6;6;7;6;6;6;7;6;7;6;6;4;5;5;6;6;4;4;7;7;4;7
97;7;7;6;4;3;7;3;5;5;6;7;7;7;7;7;7;6;7;7;2;2;6;2;6;7;7;7
98;5;5;3;3;4;3;2;5;6;3;5;4;6;3;2;2;2;1;2;6;5;2;1;6;6;5;6
99;3;5;1;1;2;1;1;4;2;1;2;5;5;5;2;5;1;1;3;6;6;2;2;1;1;1;1
100;4;4;6;4;5;5;5;6;7;5;6;6;6;6;2;1;1;4;2;6;6;5;5;2;1;2;5
101;7;7;6;5;7;7;5;7;7;5;5;6;6;6;6;5;4;3;3;6;6;5;3;3;6;6;6
102;7;5;5;6;7;5;3;6;6;6;6;7;6;7;6;5;2;2;2;7;6;2;2;3;6;6;6
103;5;5;6;2;5;6;2;5;5;6;6;6;7;6;7;4;3;4;4;7;7;3;4;1;3;1;7
104;5;5;4;4;4;4;4;5;5;4;6;3;3;5;2;6;2;2;6;7;7;2;2;3;5;3;5
105;7;7;7;7;7;7;6;7;7;6;7;7;7;7;6;2;1;2;2;6;6;2;2;2;3;3;6
106;7;6;4;4;5;5;5;6;7;6;6;6;7;7;6;4;4;3;4;6;6;3;3;5;5;5;6
107;6;6;6;3;7;7;5;7;7;7;6;7;6;7;5;4;3;3;5;7;7;6;4;5;5;6;6
108;5;5;4;4;5;5;5;4;4;4;3;5;4;5;3;2;2;2;2;6;6;1;2;5;5;2;2
109;5;4;4;2;3;3;3;6;6;5;2;3;5;3;2;2;2;2;2;7;7;2;2;5;4;7;5
110;6;6;4;5;6;7;3;7;7;6;6;7;7;7;7;6;4;7;7;7;5;1;1;4;5;4;5
111;5;5;6;3;6;6;7;5;5;5;5;6;6;7;1;5;5;5;3;7;7;3;2;2;2;2;6
112;7;4;6;2;2;2;1;5;6;5;4;6;6;4;2;5;1;1;4;7;7;1;1;2;5;5;5
113;4;5;6;5;4;5;5;6;6;4;4;5;5;7;4;5;4;4;4;7;7;4;4;4;4;4;4
114;6;6;4;3;7;7;6;7;7;3;6;7;7;7;2;2;2;2;2;7;7;2;2;4;6;5;4
115;7;7;2;6;2;7;2;4;6;6;6;6;7;7;7;7;4;2;6;6;6;1;1;2;2;2;2
116;5;2;2;2;2;2;2;5;6;5;3;5;5;6;6;6;4;6;6;2;3;2;2;2;6;6;4
117;4;4;3;3;5;3;3;5;5;4;4;5;4;4;7;1;1;5;5;7;6;3;3;3;3;3;3
118;7;6;7;7;7;7;7;5;6;4;4;6;7;5;2;6;1;2;6;7;3;6;3;7;7;7;7
119;2;3;4;4;5;4;4;6;6;5;6;6;4;5;4;4;2;4;4;7;7;3;4;4;4;4;4
120;5;5;5;2;6;6;4;6;6;5;4;5;6;6;4;4;3;2;2;6;6;2;2;6;6;6;6
121;6;6;5;2;5;6;5;7;7;6;5;5;6;6;6;6;4;5;7;7;7;4;4;5;5;5;5
122;6;5;3;3;4;5;5;7;7;4;6;7;7;6;3;7;3;5;7;7;7;3;3;5;6;6;6
123;5;3;3;1;5;6;5;4;7;5;3;6;7;7;4;5;4;4;4;7;7;1;1;5;4;4;4
124;6;6;1;1;2;1;1;6;6;1;1;2;2;6;1;1;1;1;1;6;6;1;1;2;7;4;6
125;5;5;7;7;5;7;7;6;7;6;6;6;6;6;6;6;6;6;6;6;6;2;6;5;6;6;6
126;7;7;4;4;5;5;4;5;5;5;6;6;6;5;5;6;6;5;6;7;7;3;2;5;5;5;5
127;6;6;6;7;7;7;7;7;7;7;2;5;6;6;2;4;2;1;5;1;1;5;2;6;6;2;5
128;3;3;3;4;5;5;3;6;7;4;4;7;6;5;3;2;2;2;2;7;6;4;4;3;5;2;2
129;5;5;4;4;5;6;6;4;5;5;6;5;5;6;2;2;2;2;2;7;7;6;6;5;5;4;5
130;3;4;7;3;6;7;7;7;7;7;5;6;5;7;1;1;1;1;1;7;7;3;5;5;5;5;4
131;7;5;4;7;7;7;6;7;7;6;4;7;5;5;3;3;2;2;5;5;4;6;4;4;4;4;5
132;4;4;6;4;5;5;3;5;6;6;7;6;6;6;4;4;4;2;4;6;6;2;3;4;4;4;4
133;4;4;4;4;4;4;4;4;5;4;4;4;4;5;2;2;4;2;2;7;7;2;1;4;4;4;4
134;6;6;6;5;6;6;6;6;6;7;7;5;7;7;5;4;4;4;4;6;6;6;6;4;4;4;4
135;5;5;3;4;5;4;4;4;6;4;6;4;4;5;3;1;1;1;1;7;7;1;1;3;3;3;5
136;3;3;6;5;5;7;5;5;6;6;6;6;6;5;2;5;4;4;5;5;5;5;6;7;7;7;7
137;4;4;5;4;5;6;6;7;7;6;5;4;6;6;4;3;1;2;2;6;6;4;3;3;4;5;6
138;7;5;1;4;4;5;4;6;6;5;4;6;6;7;7;5;4;5;6;7;6;6;4;5;7;6;7
139;7;6;5;5;5;5;1;5;6;7;7;7;7;6;4;4;4;4;4;7;7;1;1;4;5;6;5
140;5;6;5;2;2;3;2;5;5;4;6;5;6;7;6;2;2;5;2;4;5;2;3;5;1;3;3
141;3;3;1;1;3;3;1;4;5;1;5;5;4;3;2;3;1;1;1;7;7;1;1;4;4;4;4
142;5;6;6;5;6;7;6;7;7;5;4;6;7;6;2;2;1;1;2;5;5;1;4;3;6;3;5
143;7;7;4;5;7;7;6;7;7;5;5;6;7;7;5;3;3;3;3;7;1;7;5;2;2;4;4
144;6;4;5;6;7;7;6;6;5;6;5;5;5;7;5;4;2;3;5;7;3;3;3;1;5;5;5
145;3;5;3;1;4;4;3;6;6;5;5;7;6;7;3;3;3;3;3;7;7;3;3;5;7;5;6
146;6;6;7;4;7;7;6;6;5;5;6;4;4;5;1;2;2;2;2;7;7;2;4;1;1;1;6
147;5;5;3;3;3;3;3;3;6;4;4;5;5;5;3;4;4;3;3;6;6;3;3;4;5;4;5
148;7;7;6;5;5;5;4;7;7;6;7;7;7;7;4;4;5;5;4;7;7;2;1;7;4;4;4
149;2;2;1;1;1;1;1;3;2;1;1;6;4;6;1;1;1;1;1;7;7;1;1;1;6;1;7
150;2;2;2;4;2;4;3;3;5;2;4;4;3;3;4;3;3;4;4;7;7;2;1;4;3;3;2
151;3;3;3;2;4;4;4;7;7;4;6;5;6;7;7;6;6;4;6;3;3;4;4;3;3;3;3
152;7;6;6;6;5;7;6;5;6;6;6;6;7;6;7;4;1;5;6;2;2;1;1;4;6;7;6
153;6;6;3;1;1;7;2;6;6;5;6;6;7;6;3;1;1;1;1;5;3;2;2;2;7;7;5
154;4;4;4;4;5;5;2;6;5;5;5;7;7;7;5;5;4;4;6;7;7;2;4;2;5;2;5
155;6;2;7;3;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;7;6;4;6;4;7
156;5;5;5;3;5;6;4;6;6;5;6;5;6;6;5;4;3;3;4;6;6;3;4;3;5;5;5
157;6;5;5;4;6;6;6;6;6;4;4;6;7;5;7;7;5;5;4;5;5;3;4;4;6;4;5
158;7;6;1;1;1;3;1;7;7;1;1;7;7;7;5;5;5;5;5;6;6;1;1;1;7;7;7
159;6;3;2;2;5;6;3;5;5;2;4;6;6;7;7;5;5;2;6;6;6;4;3;4;4;4;4
160;6;4;7;7;7;7;6;5;7;7;6;7;6;6;1;2;4;2;2;7;5;2;4;7;5;5;6
161;6;5;4;2;5;5;2;6;6;5;4;5;4;5;3;2;2;2;2;5;6;4;5;2;4;4;3
162;4;4;4;6;5;5;5;5;6;4;3;4;4;5;2;2;2;2;2;7;7;6;2;7;4;5;4
163;7;4;1;1;1;5;1;5;6;5;4;7;7;6;1;1;1;1;1;7;6;1;1;1;5;6;7
164;6;6;7;6;6;7;7;6;6;6;7;6;6;5;5;4;4;4;5;6;6;5;4;6;6;5;4
165;5;6;2;2;2;2;3;4;6;7;7;4;5;5;3;7;7;7;7;6;7;2;4;2;4;5;6
166;7;6;4;4;3;6;6;6;5;6;5;7;6;6;7;6;6;6;6;7;7;7;4;4;4;4;4
167;5;5;3;1;2;5;1;7;7;5;5;7;7;7;3;3;3;3;3;7;7;1;1;5;5;5;1
168;6;5;1;1;4;5;1;6;6;1;1;1;5;6;7;7;4;2;6;7;6;1;1;5;5;4;5
169;3;3;7;6;7;7;7;6;6;6;6;6;6;6;3;3;3;3;5;6;6;4;4;4;7;6;7
170;6;6;6;5;7;7;4;6;7;5;5;6;7;5;3;2;1;4;2;7;7;3;3;5;5;4;6
171;7;6;6;6;6;6;5;6;6;6;3;5;5;4;7;4;1;1;3;6;7;3;3;7;4;4;4
172;4;4;3;3;3;5;2;5;5;4;4;4;4;4;5;5;4;1;2;6;6;2;2;5;5;5;5
173;6;6;5;4;5;6;5;6;6;4;6;6;6;6;6;5;4;4;5;6;6;5;4;6;6;6;6
174;5;5;5;2;5;5;2;5;5;5;6;5;6;5;6;5;4;4;4;5;5;4;4;2;2;2;2
175;5;3;1;1;3;1;2;7;7;3;6;7;6;7;7;7;3;2;5;7;7;1;1;2;2;2;5
176;7;7;7;5;7;7;7;7;7;5;7;7;7;7;7;6;1;5;7;1;1;1;1;1;7;7;7
177;7;6;6;6;7;3;5;6;6;5;5;7;7;6;6;7;4;5;7;6;3;2;3;3;6;7;5
178;4;5;5;4;5;5;3;6;5;5;6;6;5;6;5;1;2;1;1;6;6;2;2;2;5;4;4
